Column1,Prefix,Text,Trend,Trend_CN,Text_Suffix,Rounding
Indice,I,0,0.0%,维持不变/下跌/上涨,,2
Indice_Equity,I,0,0.0%,维持不变/下跌/上涨,点,2
Rates,R,0.000%,0bps,持平/收窄/走阔,,5
CCY,C,0.0000,0.0%,维持不变/下跌/上涨,元,4
Spd,S,0bps,0bps,持平/收窄/走阔,,1
Vol,V,0,0%,持平/下降/上升,亿美元,0
Count,CT,0,0%,持平/下降/上升,笔,0
