KYC对账号,发行人,信用主体简称,信用主体,KYC expiry date,KYC Status
0008【Hailken】,HAINAN STATE FARMS INTERNATIONAL HK CO LTD,海南农垦,海南省农垦投资控股集团有限公司,,需QRC确认Existing
0007【Grand Lake】,YUEXIU REIT MTN CO LTD,越秀房托,越秀房地产投资信托基金,,需QRC确认Existing
0006【Reunion II Tap】,MODERN LAND CHINA CO LTD,当代置业,当代置业(中国)有限公司,,需QRC确认Existing
0005【Compass】,HANHUI INTERNATIONAL LTD,山东国惠,山东国惠投资控股集团有限公司,,需QRC确认Existing
0004【Orient City】,ENRONG INTERNATIONAL HONGKONG LTD,常州东方新城建设,常州东方新城建设集团有限公司,,需QRC确认Existing
0003【Xihe】,RONGXINGDA DEVELOPMENT BVI LTD,荣盛发展,荣盛房地产发展股份有限公司,,需QRC确认Existing
0002【Horizon III Tap】,DEXIN CHINA HOLDINGS CO LTD,德信中国,德信中国控股有限公司,,需QRC确认Existing
0001【Shunze VII】,HEJUN SHUNZE INVESTMENT CO LTD,蓝光发展,四川蓝光发展股份有限公司,,需QRC确认Existing
0006【Reunion II Tap】,MODERN LAND CHINA CO LTD,当代置业,当代置业(中国)有限公司,,需QRC确认Existing
0005【Compass】,HANHUI INTERNATIONAL LTD,山东国惠,山东国惠投资控股集团有限公司,,需QRC确认Existing
0004【Orient City】,ENRONG INTERNATIONAL HONGKONG LTD,常州东方新城建设,常州东方新城建设集团有限公司,,需QRC确认Existing
0003【Xihe】,RONGXINGDA DEVELOPMENT BVI LTD,荣盛发展,荣盛房地产发展股份有限公司,,需QRC确认Existing
0002【Horizon III Tap】,DEXIN CHINA HOLDINGS CO LTD,德信中国,德信中国控股有限公司,,需QRC确认Existing
0001【Shunze VII】,HEJUN SHUNZE INVESTMENT CO LTD,蓝光发展,四川蓝光发展股份有限公司,,需QRC确认Existing
