KYC对账号,发行人,信用主体简称,信用主体,KYC expiry date,KYC Status
1083,SHANGRAO INVESTMENT HOLDINGS INTERNATIONAL COMPANY LIMITED,上饶投控,上饶投资控股集团有限公司,12/4/2026,Existing
1082,SCI (HK) DEVELOPMENT LIMITED,广州科学城,科学城(广州)投资集团有限公司,23/3/2024,Existing
1081,"YILI CAITONG STATE OWNED ASSETS MANAGEMENT CO., LTD",伊犁财通国资,伊犁哈萨克自治州财通国有资产经营有限责任公司,9/6/2026,Existing
1080,"KUNSHAN GUOCHUANG INVESTMENT GROUP CO., LTD.",昆山国创,昆山国创投资集团有限公司,30/5/2026,Existing
1079,"NANNING WUXIANG NEW AREA CONSTRUCTION INVESTMENT CO., LTD",南宁五象建投,南宁五象新区建设投资有限责任公司,14/4/2026,Existing
1078,GUANGZHOU DEVELOPMENT DISTRICT HOLDING GROUP LIMITED,广州开发区控股,广州开发区控股集团有限公司,30/3/2026,Existing
1077,"CHENGDU AEROTROPOLIS CITY DEVELOPMENT GROUP CO., LTD.",成都空港城发,成都空港城市发展集团有限公司,28/3/2026,Existing
1076,"QINGDAO WEST COAST NEW AREA RONGHE HOLDING GROUP CO., LTD.",青岛西海岸融控,青岛西海岸新区融合控股集团有限公司,24/3/2026,Existing
1075,"QINGDAO WEST COAST NEW AREA OCEAN HOLDING GROUP CO., LTD.",青岛西海岸海控,青岛西海岸新区海洋控股集团有限公司,28/11/2025,Existing
1074,"SHAOXING SHANGYU HANGZHOU BAY ECONOMIC DEVELOPMENT ZONE HOLDING GROUP CO., LTD.",绍兴上虞杭州湾,绍兴市上虞杭州湾经开区控股集团有限公司,17/3/2026,Existing
1073,"GUILIN ETDZ INVESTMENT HOLDING CO., LTD.",桂林经开,桂林经开投资控股有限责任公司,22/2/2026,Existing
1072,"CHENZHOU INDUSTRY INVESTMENT GROUP CO., LTD.",郴州产投,郴州市产业投资集团有限公司,27/2/2026,Existing
1071,"JINJIANG ROAD AND BRIDGE CONSTRUCTION & DEVELOPMENT CO., LTD",晋江城投,福建省晋江城市建设投资开发集团有限责任公司,27/2/2026,Existing
1070,"CHONGQING FULING INDUSTRIAL DEVELOPMENT GROUP CO., LTD",重庆涪陵实业,重庆市涪陵实业发展集团有限公司,2/3/2026,Existing
1069b,"CHINA EVERBRIGHT BANK CO., LTD., SYDNEY BRANCH",光大银行,中国光大银行股份有限公司,,Suspend
1069a,"CHINA EVERBRIGHT BANK CO., LTD., HONG KONG BRANCH",光大银行,中国光大银行股份有限公司,15/2/2026,Existing
1068,"GANZHOU URBAN INVESTMENT HOLDING GROUP CO., LTD.",赣州城投,赣州城市投资控股集团有限责任公司,15/2/2026,Existing
1067,"HUAIBEI PUBLIC UTILITY ASSETS OPERATION CO., LTD.",淮北公用,淮北市公用事业资产运营有限公司,15/2/2026,Existing
1066,"HUANTAIHU INTERNATIONAL INVESTMENT CO., LTD.",湖州经开投,湖州经开投资发展集团有限公司,10/2/2026,Existing
1065,"QINGDAO JIMO DISTRICT URBAN DEVELOPMENT INVESTMENT CO., LTD.",青岛即墨城投,青岛市即墨区城市开发投资有限公司,2/2/2026,Existing
1064,"INTERNATIONAL FAR EASTERN LEASING CO., LTD",远东租赁,远东国际融资租赁有限公司,11/1/2026,Existing
1063,"HONGKONG XIANGYU INVESTMENT CO., LIMITED",厦门象屿,厦门象屿集团有限公司,12/1/2026,Existing
1062,"CHINA MINSHENG BANKING CORP., LTD., HONG KONG BRANCH",民生银行,中国民生银行股份有限公司,8/8/2025,Existing
1061,"HUBEI HUANCHUAN STATE OWNED CAPITAL INVESTMENT AND OPERATION GROUP CO., LTD.",湖北澴川国资,湖北澴川国有资本投资运营集团有限公司,16/12/2025,Existing
1060,"HEZE RAILWAY INVESTMENT AND DEVELOPMENT GROUP CO., LTD.",菏泽铁投,菏泽市铁路投资发展集团有限公司,5/12/2025,Existing
1059,"HONGKONG YUNLIN INTERNATIONAL CO., LIMITED",无锡能达热电,无锡能达热电有限公司,7/12/2025,Existing
1058,BOCOM LEASING MANAGEMENT HONG KONG COMPANY LIMITED,交银金租,交银金融租赁有限责任公司,8/12/2025,Existing
1057,"CHENGDU INLAND PORT HUB INVESTMENT & DEVELOPMENT (GROUP) CO., LTD.",成都陆港枢纽,成都陆港枢纽投资发展集团有限公司,24/11/2025,Existing
1056,"ROWEN INTERNATIONAL CO., LIMITED",威海文登蓝海,威海市文登区蓝海投资开发有限公司,31/10/2025,Existing
1055,ZHEJIANG KUNPENG (BVI) COMPANY LIMITED,杭州上城国资,杭州上城区国有资本运营集团有限公司,27/10/2025,Existing
1054,"CHANGSHA PILOT INVESTMENT HOLDINGS GROUP CO., LTD.",长沙先导,长沙先导投资控股集团有限公司,17/10/2025,Existing
1053,"TONGLU COUNTY STATE CAPITAL INVESTMENT AND MANAGEMENT HOLDING GROUP CO., LTD.",桐庐国投运营,桐庐县国有资本投资运营控股集团有限公司,10/10/2025,Existing
1052,"SHAOXING SHANGYU STATE-OWNED CAPITAL INVESTMENT AND OPERATION CO., LTD.",绍兴上虞国资,绍兴市上虞区国有资本投资运营有限公司,7/9/2025,Existing
1051,"ZOOMWE HONG KONG NEW ENERGY TECHNOLOGY CO., LIMITED",中伟股份,中伟新材料股份有限公司,15/8/2025,Existing
1050,"HAINING CITY DEVELOPMENT INVESTMENT GROUP., LTD",海宁城投,海宁市城市发展投资集团有限公司,11/8/2025,Existing
1049,"SHAOXING CITY KEQIAO DISTRICT CONSTRUCTION GROUP CO., LTD.",绍兴柯桥建设,绍兴市柯桥区建设集团有限公司,28/7/2025,Existing
1048,ZHEJIANG BOXIN (BVI) LIMITED,杭州上城城投,杭州上城区城市建设投资集团有限公司,25/7/2025,Existing
1047,"DALIAN DETA HOLDING CO., LTD.",大连德泰,大连德泰控股有限公司,14/7/2025,Existing
1046,"XINJIANG ZHONGTAI (GROUP) CO., LTD.",新疆中泰,新疆中泰(集团)有限责任公司,6/7/2025,Existing
1045,GUANGXI COMMUNICATIONS INVESTMENT GROUP CORPORATION LTD,广西交投,广西交通投资集团有限公司,5/7/2025,Existing
1044,HONGKONG INTERNATIONAL (QINGDAO) COMPANY LIMITED ,青岛城投,青岛城市建设投资(集团)有限责任公司,29/6/2025,Existing
1043,"CHONGQING NAN’AN URBAN CONSTRUCTION & DEVELOPMENT (GROUP) CO., LTD",重庆南岸城建,重庆市南岸区城市建设发展(集团)有限公司,31/5/2025,Existing
1042,SOAR WISE LIMITED,中航租赁,中航国际融资租赁有限公司,19/5/2025,Existing
1041,"INDUSTRIAL BANK CO., LTD, HONG KONG BRANCH",兴业银行,兴业银行股份有限公司,11/5/2025,Existing
1040,"CHENGDU AIRPORT XINGCHENG INVESTMENT GROUP CO., LTD",成都空港兴城,成都空港兴城投资集团有限公司,25/4/2025,Existing
1039,"NANYANG COMMERCIAL BANK, LIMITED",南商银行,南洋商业银行有限公司,22/4/2025,Existing
1038,"THE BANK OF EAST ASIA, LIMITED",东亚银行,东亚银行有限公司,13/4/2025,Existing
1037,CSCIF ASIA LIMITED,中信建投,中信建投证券股份有限公司,19/4/2026,Existing
1036,CHINA CITIC BANK INTERNATIONAL LIMITED,信银国际,中信银行(国际)有限公司,13/4/2025,Existing
1035,CSI MTN LIMITED,中信证券国际,中信证券国际有限公司,12/4/2025,Existing
1034,CHIYU BANKING CORP LTD,集友银行,集友银行有限公司,29/3/2025,Existing
