Date,R_SOFR
1/27/2023,4.3
1/26/2023,4.3
1/25/2023,4.31
1/24/2023,4.3
1/23/2023,4.3
1/20/2023,4.3
1/19/2023,4.31
1/18/2023,4.3
1/17/2023,4.31
1/13/2023,4.3
1/12/2023,4.3
1/11/2023,4.3
1/10/2023,4.31
1/9/2023,4.31
1/6/2023,4.31
1/5/2023,4.31
1/4/2023,4.3
1/3/2023,4.31
12/30/2022,4.3
12/29/2022,4.3
12/28/2022,4.3
12/27/2022,4.3
12/23/2022,4.3
12/22/2022,4.3
12/21/2022,4.3
12/20/2022,4.3
12/19/2022,4.3
12/16/2022,4.32
12/15/2022,4.32
12/14/2022,3.8
12/13/2022,3.8
12/12/2022,3.8
12/9/2022,3.8
12/8/2022,3.8
12/7/2022,3.8
12/6/2022,3.8
12/5/2022,3.81
12/2/2022,3.81
12/1/2022,3.82
11/30/2022,3.82
11/29/2022,3.81
11/28/2022,3.8
11/25/2022,3.8
11/23/2022,3.79
11/22/2022,3.8
11/21/2022,3.8
11/18/2022,3.8
11/17/2022,3.8
11/16/2022,3.81
11/15/2022,3.8
11/14/2022,3.79
11/10/2022,3.78
11/9/2022,3.78
11/8/2022,3.78
11/7/2022,3.78
11/4/2022,3.8
11/3/2022,3.8
11/2/2022,3.05
11/1/2022,3.05
10/31/2022,3.05
10/28/2022,3.05
10/27/2022,3.04
10/26/2022,3.03
10/25/2022,3.02
10/24/2022,3.01
10/21/2022,3.02
10/20/2022,3.03
10/19/2022,3.04
10/18/2022,3.04
10/17/2022,3.05
10/14/2022,3.04
10/13/2022,3.04
10/12/2022,3.04
10/11/2022,3.05
10/7/2022,3.05
10/6/2022,3.05
10/5/2022,3.04
10/4/2022,3.04
10/3/2022,3
9/30/2022,2.98
9/29/2022,2.96
9/28/2022,2.98
9/27/2022,2.98
9/26/2022,2.99
9/23/2022,2.99
9/22/2022,2.99
9/21/2022,2.25
9/20/2022,2.26
9/19/2022,2.27
9/16/2022,2.27
9/15/2022,2.28
9/14/2022,2.27
9/13/2022,2.28
9/12/2022,2.28
9/9/2022,2.28
9/8/2022,2.28
9/7/2022,2.28
9/6/2022,2.29
9/2/2022,2.29
9/1/2022,2.29
8/31/2022,2.29
8/30/2022,2.29
8/29/2022,2.28
8/26/2022,2.28
8/25/2022,2.28
8/24/2022,2.27
8/23/2022,2.27
8/22/2022,2.28
8/19/2022,2.28
8/18/2022,2.28
8/17/2022,2.29
8/16/2022,2.29
8/15/2022,2.29
8/12/2022,2.28
8/11/2022,2.28
8/10/2022,2.28
8/9/2022,2.29
8/8/2022,2.28
8/5/2022,2.28
8/4/2022,2.29
8/3/2022,2.29
8/2/2022,2.3
8/1/2022,2.28
7/29/2022,2.27
7/28/2022,2.28
7/27/2022,1.53
7/26/2022,1.53
7/25/2022,1.53
7/22/2022,1.52
7/21/2022,1.53
7/20/2022,1.53
7/19/2022,1.54
7/18/2022,1.54
7/15/2022,1.54
7/14/2022,1.53
7/13/2022,1.53
7/12/2022,1.54
7/11/2022,1.53
7/8/2022,1.53
7/7/2022,1.54
7/6/2022,1.54
7/5/2022,1.54
7/1/2022,1.52
6/30/2022,1.5
6/29/2022,1.51
6/28/2022,1.52
6/27/2022,1.5
6/24/2022,1.46
6/23/2022,1.44
6/22/2022,1.45
6/21/2022,1.45
6/17/2022,1.45
6/16/2022,1.45
6/15/2022,0.7
6/14/2022,0.69
6/13/2022,0.73
6/10/2022,0.75
6/9/2022,0.75
6/8/2022,0.76
6/7/2022,0.77
6/6/2022,0.78
6/3/2022,0.78
6/2/2022,0.79
6/1/2022,0.8
5/31/2022,0.79
