英文简称,OTHER_ISIN,定价日,发行规则
CHGRID 3.5 05/04/27,US857006AG58,4/26/2017,144A
CHGRID 2.25 05/04/20,US857006AD28,4/26/2017,144A
CHGRID 4 05/04/47,US857006AK60,4/26/2017,144A
CHGRID 2.75 05/04/22,US857006AE01,4/26/2017,144A
SINOPE 3.625 04/12/27,US82938NAC83,4/5/2017,144A
SINOPE 2.375 04/12/20,US82938NAE40,4/5/2017,144A
SINOPE 4.25 04/12/47,US82938NAD66,4/5/2017,144A
SINOPE 3 04/12/22,US82938NAA28,4/5/2017,144A
ICBCIL 2.125 09/29/19,US44931DAJ28,9/26/2016,144A
ICBCIL 2.5 09/29/21,US44931DAK90,9/26/2016,144A
SINOPE 2.75 09/29/26,US82939CAH07,9/22/2016,144A
SINOPE 1.75 09/29/19,US82939CAF41,9/22/2016,144A
SINOPE 2 09/29/21,US82939CAG24,9/22/2016,144A
BOCAVI 2.375 09/15/21,US09681LAC46,9/8/2016,144A
BTSDF 7.25 06/21/21,US090688AA08,6/15/2016,144A
YANTZE 3.15 06/02/26,US88556LAC00,5/24/2016,144A
YANTZE 2.3 06/02/21,US88556LAB27,5/24/2016,144A
ICBCIL 3.625 05/19/26,US44931DAH61,5/12/2016,144A
ICBCIL 2.375 05/19/19,US44931DAF06,5/12/2016,144A
ICBCIL 2.75 05/19/21,US44931DAG88,5/12/2016,144A
CHGRID 1.25 05/19/22,XS1402182866,5/11/2016,144A
CHGRID 1.75 05/19/25,XS1402186776,5/11/2016,144A
CHGRID 2.875 05/18/26,US857006AC45,5/11/2016,144A
CHGRID 2.125 05/18/21,US857006AB61,5/11/2016,144A
SINOPE 3.5 05/03/26,US82939CAD92,4/25/2016,144A
SINOPE 2.125 05/03/19,US82939CAA53,4/25/2016,144A
SINOPE 4.25 05/03/46,US82939CAE75,4/25/2016,144A
SINOPE 2.75 05/03/21,US82939CAB37,4/25/2016,144A
BOCAVI 3.875 04/27/26,US09681LAB62,4/14/2016,144A
EHICAR 7.5 12/08/18,US26853AAA88,12/1/2015,144A
ICBCIL 2.6 11/13/18,US44931DAB91,11/3/2015,144A
ICBCIL FLOAT 11/13/18,US44931DAA19,11/3/2015,144A
ICBCIL 3.2 11/10/20,US44931DAC74,11/3/2015,144A
ICBCAS 4.875 09/21/25,US455881AD47,9/14/2015,144A
EXIMCH 3.8 09/16/25,US002364AB37,9/9/2015,144A
EXIMCH 2.85 09/16/20,US002364AA53,9/9/2015,144A
YANTZE 1.7 06/10/22,XS1117296894,6/3/2015,144A
YANTZE 3.7 06/10/25,US88556LAA44,6/3/2015,144A
CHINAM 2.375 05/14/18,US16953RAA14,5/7/2015,144A
KUNLEG 3.75 05/13/25,US50126AAB70,5/6/2015,144A
KUNLEG 2.875 05/13/20,US50126AAA97,5/6/2015,144A
SINOPE 0.5 04/27/18,XS1220887233,4/21/2015,144A
SINOPE 1 04/28/22,XS1220876111,4/21/2015,144A
SINOPE 2.5 04/28/20,US82938BAB62,4/21/2015,144A
SINOPE 3.25 04/28/25,US82938BAC46,4/20/2015,144A
SINOPE 4.1 04/28/45,US82938BAE02,4/20/2015,144A
CCAMCL 4.25 04/23/25,US16891VAB53,4/16/2015,144A
CCAMCL 3.125 04/23/20,US16891VAA70,4/16/2015,144A
TENCNT 3.8 02/11/25,US88032WAD83,2/4/2015,144A
TENCNT 2.875 02/11/20,US88032WAC01,2/4/2015,144A
CARINC 6.125 02/04/20,US14074LAA35,1/28/2015,144A
ICBCAS 6 PERP,XS1142381711,12/3/2014,144A
ICBCAS 6 PERP,US455881AB80,12/3/2014,144A
BABA 3.6 11/28/24,US01609WAH51,11/20/2014,144A
BABA 4.5 11/28/34,US01609WAJ18,11/20/2014,144A
BABA 1.625 11/28/17,US01609WAD48,11/20/2014,144A
BABA 1.83722 11/28/17,US01609WAF95,11/20/2014,144A
BABA 2.5 11/28/19,US01609WAB81,11/20/2014,144A
BABA 3.125 11/28/21,US01609WAA09,11/20/2014,144A
BCHINA 5 11/13/24,US061202AA55,11/5/2014,144A
