ISIN,信用主体,信用主体.DMI,定价日
XS2388909181,建银国际(控股)有限公司,中国建设银行股份有限公司,9/23/2021
XS2123956091,交银金融租赁有限责任公司,交银租赁管理香港有限公司,2/24/2020
XS2082777405,交银金融租赁有限责任公司,交银租赁管理香港有限公司,12/3/2019
HK0000536521,兰州建设投资(控股)集团有限公司,兰州市城市发展投资有限公司,11/7/2019
XS2680393258,科学城(广州)投资集团有限公司,科学城(广州)融资租赁有限公司,9/12/2023
XS2540227563,安顺市国有资本运营有限责任公司,安顺旅游投资有限公司,8/11/2023
XS2763034498,寿光市城投控股集团有限公司,山东寿光金鑫投资发展控股集团有限公司,2/2/2024
XS2614579113,平度市城市建设投资开发有限公司,平度市国有资产经营管理有限公司,4/21/2023
XS2453368701,平度市城市建设投资开发有限公司,平度市国有资产经营管理有限公司,3/8/2022
