Column1,Column2,Column3,Column4
PK_Folder,Folder_Path,Folder_Path,Has_NumInPath
Root,C:\Users\ktkt2\OneDrive,\\10.10.1.215\dcm$,
Base_4,C:\Users\ktkt2\OneDrive\EXE Team\DataHub\SharedM,\\10.10.1.215\dcm$\0 DCM Base\4 Markets,
Team_DH,C:\Users\ktkt2\OneDrive\EXE Team\DataHub,\\10.10.1.215\dcm$\Team Folder\Execution Team\DataHub,
Team_DH_DL,C:\Users\ktkt2\OneDrive\EXE Team\DataHub\DataLake,\\10.10.1.215\dcm$\Team Folder\Execution Team\DataHub\DataLake,
Team_DH_M_ss,C:\Users\ktkt2\OneDrive\EXE Team\DataHub\SharedM\Backup,,
Team_AM,C:\Users\ktkt2\OneDrive\EXE Team\DataHub\SharedM\Weekly AM,\\10.10.1.215\dcm$\Team Folder\Execution Team\Weekly AM,YYYYMMDD
Team_ESG,C:\Users\ktkt2\OneDrive\EXE Team\DataHub\SharedM,\\10.10.1.215\dcm$\Team Folder\Execution Team\Rating & Advisory\7. ESG\Pitch book,
QRC,C:\Users\ktkt2\OneDrive\EXE Team\QRC,\\10.10.1.215\dcm$\【QRC】DCM项目情况表,
