Find,EN,CN,CN_Short,Replace
WESTPAC,Westpac,西太平洋银行,西太平洋银行,^WESTPAC^
WINGLUNG,CMBWL,招商永隆银行,永隆,^WINGLUNG^
YUEXIU,Yuexiu,越秀证券,越秀,^YUEXIU^
ZHESHANGBANK,CZBank,浙商银行,浙商,^ZHESHANGBANK^
ZHESHANGINTL,Zheshang Intl,浙商国际金控,浙商国际金控,^ZHESHANGINTL^
ZHONGTAI,Zhongtai,中泰证券,中泰,^ZHONGTAI^
SUNRIVER,SunRiver,淞港国际证券,淞港,^SUNRIVER^
WILSON,Wilson,汇生证券,汇生,^WILSON^
CHINACREDIT,CCIG Sec,中诚国际证券,中诚国际,^CHINACREDIT^
HUNGSING,Hung Sing,鸿昇证券,鸿昇,^HUNGSING^
HUAAN,Hua An,华安证券,华安,^HUAAN^
SINOLINK,Sinolink,国金证券,国金,^SINOLINK^
DINGXIN,Ding Xin,鼎鑫证券,鼎鑫,^DINGXIN^
CHINAENTERPRISE,China Enterprise,华业金控,华业,^CHINAENTERPRISE^
SIGMACAP,Sigma,众和证券,众和,^SIGMACAP^
FAREASTERNINTLBANK,FEIB,远东国际商业银行,远东国际商业银行,^FAREASTERNINTLBANK^
SDHG,SDHG,山高国际,山高,^SDHG^
CHINASHANDONG,CSIAM,华鲁国际,华鲁国际,^CHINASHANDONG^
DAIWA,Daiwa,大和资本市场,大和,^DAIWA^
CARNEGIE,Carnegie Hill,衡山证券,衡山,^CARNEGIE^
GOLDBRIDGE,Goldbridge,金桥证券,金桥,^GOLDBRIDGE^
DL,DL Sec,德林证券,德林,^DL^
WANLUNG,Wan Lung,万隆证券,万隆,^WANLUNG^
HUAFU,Hua Fu Int'l,华福证券,华福国际,^HUAFU^
PULSAR,Pulsar,脉搏资本,脉搏,^PULSAR^
OCIAM,OCI AM,东建国际,东建国际,^OCIAM^
EASTASIACAP,East Asia Capital,三谷,三谷,^EASTASIACAP^
MINMETALS,Minmetals,五矿证券,五矿证券,^MINMETALS^
ALPHA,Alpha Sec,亚华证券,亚华,^ALPHA^
CHENGTONG,Cheng Tong,诚通香港资管,诚通香港资管,^CHENGTONG^
SHENGYUAN,Sheng Yuan Sec,盛源证券,盛源,^SHENGYUAN^
VISION,Vision Cap,万盛,万盛,^VISION^
YONXI,Yonxi Sec,雍熙证券,雍熙,^YONXI^
FUTEC,Futec,富德国际,富德,^FUTEC^
HEUNGKONG,HeungKong,香江证券,香江,^HEUNGKONG^
SDG,SDG Sec,山金证券,山金,^SDG^
ADMIRALTYHARBOUR,Admiralty Harbour,钟港资本,钟港,^ADMIRALTYHARBOUR^
JQ,JQ Sec,金信期盈证券,金信期盈,^JQ^
VALUABLE,Valuable Sec,华盛资本证券,华盛,^VALUABLE^
CSFG,SDHG,山高国际,山高,^CSFG^
HARMONIA,Harmonia,仁和资本,仁和,^HARMONIA^
POTOMAC,Potomac,波多马克,波多马克,^POTOMAC^
SEAZEN,Seazen,新城晋峰金融,新城晋峰,^SEAZEN^
TAIFUNG,Tai Fung,大丰银行,大丰,^TAIFUNG^
CNINVSE,China Inv Sec,中投证券,中投证券,^CNINVSE^
FOUNDER,Founder Sec,方正证券,方正,^FOUNDER^
YUANYIN,Yuanyin Sec,原银证券,原银证券,^YUANYIN^
FORTUNEHK,FORTUNEHK,富强证券,富强证券,^FORTUNEHK^
PRESTIGESEC,PRESTIGESEC,盛德证券,盛德证券,^PRESTIGESEC^
TONGHAI,Quam,华富建业,华富建业,^TONGHAI^
FLOWCAP,Flow Cap,正流资本,正流资本,^FLOWCAP^
SUNHUNGKAI,EBS,光证国际,光证国际,^SUNHUNGKAI^
ZHONGSHENG,Zhong Sheng,中盛证券,中盛证券,^ZHONGSHENG^
TUSCORPORATE,Pine Peak,高通融资,高通融资,^TUSCORPORATE^
CANTOR,Cantor Fitzgerald,Cantor,Cantor,^CANTOR^
VTB,VTB Cap,VTB,VTB,^VTB^
